category,cardNumber,parallel,isAuto,printRun,player
base,1,Base,false,,Alakazam
base,2,Base,false,,Blastoise
base,3,Base,false,,Chansey
base,4,Base,false,,Charizard
base,5,Base,false,,Clefairy
base,6,Base,false,,Gyarados
base,7,Base,false,,Hitmonchan
base,8,Base,false,,Machamp
base,9,Base,false,,Magneton
base,10,Base,false,,Mewtwo
base,11,Base,false,,Nidoking
base,12,Base,false,,Ninetales
base,13,Base,false,,Poliwrath
base,14,Base,false,,Raichu
base,15,Base,false,,Venusaur
base,16,Base,false,,Zapdos
base,17,Base,false,,Beedrill
base,18,Base,false,,Dragonair
base,19,Base,false,,Dugtrio
base,20,Base,false,,Electabuzz
base,21,Base,false,,Electrode
base,22,Base,false,,Pidgeotto
base,23,Base,false,,Arcanine
base,24,Base,false,,Charmeleon
base,25,Base,false,,Dewgong
base,26,Base,false,,Dratini
base,27,Base,false,,Farfetch'd
base,28,Base,false,,Growlithe
base,29,Base,false,,Haunter
base,30,Base,false,,Ivysaur
base,31,Base,false,,Jynx
base,32,Base,false,,Kadabra
base,33,Base,false,,Kakuna
base,34,Base,false,,Machoke
base,35,Base,false,,Magikarp
base,36,Base,false,,Magmar
base,37,Base,false,,Nidorino
base,38,Base,false,,Poliwhirl
base,39,Base,false,,Porygon
base,40,Base,false,,Raticate
base,41,Base,false,,Seel
base,42,Base,false,,Wartortle
base,43,Base,false,,Abra
base,44,Base,false,,Bulbasaur
base,45,Base,false,,Caterpie
base,46,Base,false,,Charmander
base,47,Base,false,,Diglett
base,48,Base,false,,Doduo
base,49,Base,false,,Drowzee
base,50,Base,false,,Gastly
base,51,Base,false,,Koffing
base,52,Base,false,,Machop
base,53,Base,false,,Magnemite
base,54,Base,false,,Metapod
base,55,Base,false,,Nidoran♂
base,56,Base,false,,Onix
base,57,Base,false,,Pidgey
base,58,Base,false,,Pikachu
base,59,Base,false,,Poliwag
base,60,Base,false,,Ponyta
base,61,Base,false,,Rattata
base,62,Base,false,,Sandshrew
base,63,Base,false,,Squirtle
base,64,Base,false,,Starmie
base,65,Base,false,,Staryu
base,66,Base,false,,Tangela
base,67,Base,false,,Voltorb
base,68,Base,false,,Vulpix
base,69,Base,false,,Weedle
base,70,Base,false,,Clefairy Doll
base,71,Base,false,,Computer Search
base,72,Base,false,,Devolution Spray
base,73,Base,false,,Impostor Professor Oak
base,74,Base,false,,Item Finder
base,75,Base,false,,Lass
base,76,Base,false,,Pokémon Breeder
base,77,Base,false,,Pokémon Trader
base,78,Base,false,,Scoop Up
base,79,Base,false,,Super Energy Removal
base,80,Base,false,,Defender
base,81,Base,false,,Energy Retrieval
base,82,Base,false,,Full Heal
base,83,Base,false,,Maintenance
base,84,Base,false,,PlusPower
base,85,Base,false,,Pokémon Center
base,86,Base,false,,Pokémon Flute
base,87,Base,false,,Pokédex
base,88,Base,false,,Professor Oak
base,89,Base,false,,Revive
base,90,Base,false,,Super Potion
base,91,Base,false,,Bill
base,92,Base,false,,Energy Removal
base,93,Base,false,,Gust of Wind
base,94,Base,false,,Potion
base,95,Base,false,,Switch
base,96,Base,false,,Double Colorless Energy
base,97,Base,false,,Fighting Energy
base,98,Base,false,,Fire Energy
base,99,Base,false,,Grass Energy
base,100,Base,false,,Lightning Energy
base,101,Base,false,,Psychic Energy
base,102,Base,false,,Water Energy
