setKey,prefix,cardNumber,player,team,note
chrome_prospect_autographs,CPA,CPA-AA,Aiva Arquette,Miami Marlins,
chrome_prospect_autographs,CPA,CPA-AF,Andrew Fischer,Milwaukee Brewers,
chrome_prospect_autographs,CPA,CPA-AFR,Anthony Frobose,New York Mets,3-letter disambiguation
chrome_prospect_autographs,CPA,CPA-AG,Adrian Gil,Chicago White Sox,
chrome_prospect_autographs,CPA,CPA-ANA,Anderson Araujo,Philadelphia Phillies,3-letter disambiguation
chrome_prospect_autographs,CPA,CPA-AT,Andrew Tess,Baltimore Orioles,
chrome_prospect_autographs,CPA,CPA-BA,Brailyn Antunez,Milwaukee Brewers,
chrome_prospect_autographs,CPA,CPA-BB,Blaine Bullard,Toronto Blue Jays,
chrome_prospect_autographs,CPA,CPA-BC,Billy Carlson,Chicago White Sox,
chrome_prospect_autographs,CPA,CPA-BG,Breyson Guedez,Athletics,
chrome_prospect_autographs,CPA,CPA-BI,Brent Iredale,Pittsburgh Pirates,
chrome_prospect_autographs,CPA,CPA-BT,Brendan Tunink,Los Angeles Dodgers,
chrome_prospect_autographs,CPA,CPA-CC,Charlie Condon,Colorado Rockies,
chrome_prospect_autographs,CPA,CPA-CGU,Carlos Gutierrez,San Francisco Giants,3-letter disambiguation
chrome_prospect_autographs,CPA,CPA-CJ,Coy James,Washington Nationals,
chrome_prospect_autographs,CPA,CPA-CSC,Caden Scarborough,Texas Rangers,3-letter disambiguation
chrome_prospect_autographs,CPA,CPA-CV,Carlos Virahonda,Arizona Diamondbacks,
chrome_prospect_autographs,CPA,CPA-DD,Daniel Dickinson,Milwaukee Brewers,
chrome_prospect_autographs,CPA,CPA-DDA,David Davalillo,Texas Rangers,3-letter disambiguation
chrome_prospect_autographs,CPA,CPA-DF,Dauri Fernandez,Cleveland Guardians,
chrome_prospect_autographs,CPA,CPA-DH,Dasan Hill,Minnesota Twins,
chrome_prospect_autographs,CPA,CPA-DL,Dillon Lewis,New York Yankees,
chrome_prospect_autographs,CPA,CPA-DOR,Deniel Ortiz,St. Louis Cardinals,3-letter disambiguation
chrome_prospect_autographs,CPA,CPA-DP,Daniel Pierce,Tampa Bay Rays,
chrome_prospect_autographs,CPA,CPA-DSH,David Shields,Kansas City Royals,3-letter disambiguation
chrome_prospect_autographs,CPA,CPA-EDO,Ethan Dorchies,Milwaukee Brewers,3-letter disambiguation
chrome_prospect_autographs,CPA,CPA-EF,Edward Florentino,Pittsburgh Pirates,
chrome_prospect_autographs,CPA,CPA-EH,Ethan Holliday,Colorado Rockies,headliner
chrome_prospect_autographs,CPA,CPA-EHA,Eric Hartman,Atlanta Braves,3-letter disambiguation
chrome_prospect_autographs,CPA,CPA-EM,Edgar Montero,Athletics,
chrome_prospect_autographs,CPA,CPA-EME,Esteban Mejia,Baltimore Orioles,3-letter disambiguation
chrome_prospect_autographs,CPA,CPA-EW,Eli Willits,Washington Nationals,
chrome_prospect_autographs,CPA,CPA-GJ,Gage Jump,Athletics,
chrome_prospect_autographs,CPA,CPA-GL,George Lombard Jr.,New York Yankees,
chrome_prospect_autographs,CPA,CPA-GR,Gabriel Rodriguez,Cleveland Guardians,
chrome_prospect_autographs,CPA,CPA-GS,Gage Stanifer,Toronto Blue Jays,
chrome_prospect_autographs,CPA,CPA-HE,Handelfry Encarnacion,Milwaukee Brewers,
chrome_prospect_autographs,CPA,CPA-HL,Henry Lalane,New York Yankees,
chrome_prospect_autographs,CPA,CPA-HR,Hector Ramos,Boston Red Sox,
chrome_prospect_autographs,CPA,CPA-IJ,Isaiah Jackson,Los Angeles Angels,
chrome_prospect_autographs,CPA,CPA-JG,Justin Gonzales,Boston Red Sox,
chrome_prospect_autographs,CPA,CPA-JJ,Jared Jones,Pittsburgh Pirates,
chrome_prospect_autographs,CPA,CPA-JK,Josh Knoth,Milwaukee Brewers,
chrome_prospect_autographs,CPA,CPA-JM,Jase Mitchell,Houston Astros,
chrome_prospect_autographs,CPA,CPA-JQ,Jorge Quintana,San Diego Padres,
chrome_prospect_autographs,CPA,CPA-JQU,James Quinn-Irons,Tampa Bay Rays,3-letter disambiguation
chrome_prospect_autographs,CPA,CPA-JS,Juan Sanchez,Toronto Blue Jays,
chrome_prospect_autographs,CPA,CPA-JSL,Jean Carlos Sio,San Francisco Giants,nonstandard suffix
chrome_prospect_autographs,CPA,CPA-JU,Jose Urbina,Tampa Bay Rays,
chrome_prospect_autographs,CPA,CPA-JW,Jude Warwick,Detroit Tigers,
chrome_prospect_autographs,CPA,CPA-JWH,Jack Wheeler,Texas Rangers,3-letter disambiguation
chrome_prospect_autographs,CPA,CPA-KAN,Kade Anderson,Seattle Mariners,3-letter disambiguation
chrome_prospect_autographs,CPA,CPA-KC,Kendry Chourio,Kansas City Royals,
chrome_prospect_autographs,CPA,CPA-KG,Konnor Griffin,Pittsburgh Pirates,headliner
chrome_prospect_autographs,CPA,CPA-KH,Kenly Hunter,St. Louis Cardinals,
chrome_prospect_autographs,CPA,CPA-KHE,Kehden Hettiger,Philadelphia Phillies,3-letter disambiguation
