category,cardNumber,parallel,isAuto,printRun,player,parallelNote
auto-signatures,SG-MD,,true,,Malcolm Delaney,
base,106,,false,,Marco Belinelli,
base,105,,false,,Malcolm Delaney,
base,104,,false,,Mike Muscala,
insert-sensational-swatches-starburst-prizms,SW-JC,,false,,John Collins,
insert-emergent,EM-JOH,,false,,John Collins,
base,109,,false,,John Collins,
insert-fundamentals,44,,false,,Dennis Schroder,
base,101,,false,,Dennis Schroder,
base,102,,false,,Ersan Ilyasova,
insert-sensational-swatches,SW-TD,,false,,Tyler Dorsey,
base,103,,false,,Taurean Prince,
auto-rookie-signatures,RS-JC,,true,,John Collins,
auto-autographs,103,,true,,Taurean Prince,
auto-autographs,104,,true,,Mike Muscala,
base,108,,false,,Kent Bazemore,
auto-autographs,106,,true,,Marco Belinelli,
auto-signatures,SG-TP,,true,,Taurean Prince,
insert-sensational-swatches,SW-JC,,false,,John Collins,
auto-autographs,109,,true,,John Collins,
insert-sensational-swatches-starburst-prizms,SW-TD,,false,,Tyler Dorsey,
auto-autographs,108,,true,,Kent Bazemore,
auto-autographs,107,,true,,Tyler Dorsey,
base,107,,false,,Tyler Dorsey,
base,110,,false,,Mike Budenholzer,
auto-signatures,SG-MM,,true,,Mike Muscala,
base,11,,false,,Jaylen Brown,
base,13,,false,,Marcus Smart,
base,14,,false,,Al Horford,
base,16,,false,,Jayson Tatum,
auto-signatures,SG-MS,,true,,Marcus Smart,
auto-signatures,SG-KI,,true,,Kyrie Irving,
base,15,,false,,Gordon Hayward,
base,17,,false,,Semi Ojeleye,
base,18,,false,,Terry Rozier,
auto-autographs,11,,true,,Jaylen Brown,
base,20,,false,,Brad Stevens,
auto-autographs,13,,true,,Marcus Smart,
auto-autographs,14,,true,,Al Horford,
insert-sensational-swatches-starburst-prizms,SW-KI,,false,,Kyrie Irving,
auto-autographs,15,,true,,Gordon Hayward,
insert-sensational-swatches-starburst-prizms,SW-JT,,false,,Jayson Tatum,
insert-sensational-swatches-starburst-prizms,SW-GH,,false,,Gordon Hayward,
auto-autographs,16,,true,,Jayson Tatum,
auto-autographs,17,,true,,Semi Ojeleye,
insert-sensational-swatches,SW-SO,,false,,Semi Ojeleye,
insert-sensational-swatches,SW-KI,,false,,Kyrie Irving,
insert-sensational-swatches,SW-JT,,false,,Jayson Tatum,
insert-sensational-swatches,SW-GH,,false,,Gordon Hayward,
auto-sensational-signatures-starburst-prizms,SS-JT,,true,,Jayson Tatum,
auto-sensational-signatures,SS-JT,,true,,Jayson Tatum,
auto-rookie-signatures,RS-JT,,true,,Jayson Tatum,
base,192,,false,,Kyrie Irving,
insert-luck-of-the-lottery,LL-JAT,,false,,Jayson Tatum,
insert-get-hyped,GH-KI,,false,,Kyrie Irving,
insert-fundamentals,46,,false,,Kyrie Irving,
insert-fundamentals,19,,false,,Al Horford,
insert-fundamentals,7,,false,,Larry Bird,
insert-emergent,EM-JAY,,false,,Jayson Tatum,
insert-sensational-swatches-starburst-prizms,SW-SO,,false,,Semi Ojeleye,
auto-autographs,157,,true,,Caris LeVert,
auto-autographs,151,,true,,Jeremy Lin,
auto-autographs,158,,true,,Sean Kilpatrick,
auto-autographs,152,,true,,D'Angelo Russell,
base,152,,false,,D'Angelo Russell,
auto-autographs,159,,true,,Trevor Booker,
auto-autographs,153,,true,,Rondae Hollis-Jefferson,
base,159,,false,,Trevor Booker,
base,158,,false,,Sean Kilpatrick,
insert-fundamentals,31,,false,,Jeremy Lin,
base,160,,false,,Kenny Atkinson,
auto-signatures,SG-DC,,true,,DeMarre Carroll,
auto-autographs,154,,true,,Jarrett Allen,
auto-signatures,SG-SK,,true,,Sean Kilpatrick,
base,151,,false,,Jeremy Lin,
auto-autographs,155,,true,,DeMarre Carroll,
base,155,,false,,DeMarre Carroll,
base,156,,false,,Timofey Mozgov,
insert-sensational-swatches-starburst-prizms,SW-JA,,false,,Jarrett Allen,
base,154,,false,,Jarrett Allen,
