category,cardNumber,parallel,isAuto,printRun,player,parallelNote
insert-draft-selections-memorabilia,DSM-AJ,,false,,AJ Griffin,
base,66,,false,,Trae Young,
base,2,,false,,Dejounte Murray,
auto-rookie-jersey-autographs,RJA-TYM,,true,,Tyrese Martin,
insert-select-numbers,12,,false,,Trae Young,
insert-color-wheel,12,,false,,Trae Young,
auto-rookie-jersey-autographs,RJA-AJG,,true,,AJ Griffin,
base,202,,false,,Dejounte Murray,
insert-select-future,5,,false,,AJ Griffin,
base,102,,false,,Dejounte Murray,
auto-x-factor-memorabilia-signatures,XFS-OYO,,true,,Onyeka Okongwu,
base,166,,false,,Trae Young,
insert-select-certified,19,,false,,Trae Young,
base,88,,false,,AJ Griffin,
insert-sensations,18,,false,,AJ Griffin,
auto-in-flight-signatures,IFS-DJM,,true,,Dejounte Murray,
auto-rookie-signatures,RS-AJG,,true,,AJ Griffin,
insert-en-fuego,5,,false,,Trae Young,
insert-sensations,14,,false,,Dejounte Murray,
insert-rookie-revolution,15,,false,,AJ Griffin,
auto-youth-explosion-signatures,YES-TYM,,true,,Tyrese Martin,
insert-selective-swatches,SS-TY,,false,,Trae Young,
base,266,,false,,Trae Young,
base,274,,false,,AJ Griffin,
insert-thunder-lane,4,,false,,John Collins,
base,198,,false,,AJ Griffin,
insert-unstoppable,1,,false,,Trae Young,
insert-throwback-memorabilia,TM-AL,,false,,Al Horford,
auto-signature-selections,SS-BSB,,true,,Brian Scalabrine,
base,135,,false,,Marcus Smart,
auto-signatures,S-JYT,,true,,Jayson Tatum,
auto-signatures,S-MSM,,true,,Marcus Smart,
insert-snapshots,2,,false,,Jayson Tatum,
base,155,,false,,Jayson Tatum,
insert-en-fuego,6,,false,,Jayson Tatum,
base,11,,false,,Malcolm Brogdon,
insert-select-certified,5,,false,,Jayson Tatum,
insert-color-wheel,10,,false,,Jayson Tatum,
auto-x-factor-memorabilia-signatures,XFS-RWL,,true,,Robert Williams III,
auto-in-flight-signatures,IFS-MBG,,true,,Malcolm Brogdon,
base,32,,false,,Jaylen Brown,
base,35,,false,,Marcus Smart,
auto-x-factor-memorabilia-signatures,XFS-RAY,,true,,Ray Allen,
auto-x-factor-memorabilia-signatures,XFS-MSM,,true,,Marcus Smart,
auto-autographed-memorabilia,AM-DKW,,true,,Derrick White,
auto-x-factor-memorabilia-signatures,XFS-GRW,,true,,Grant Williams,
insert-select-numbers,8,,false,,Jayson Tatum,
auto-autographed-memorabilia,AM-ALH,,true,,Al Horford,
base,55,,false,,Jayson Tatum,
insert-artistic-selections,1,,false,,Jayson Tatum,
insert-unstoppable,9,,false,,Jayson Tatum,
auto-selection-committee-signatures,SCS-LYB,,true,,Larry Bird,
auto-selection-committee-signatures,SCS-PPC,,true,,Paul Pierce,
insert-selective-swatches,SS-GW,,false,,Grant Williams,
insert-selective-swatches,SS-JB,,false,,Jaylen Brown,
insert-selective-swatches,SS-JT,,false,,Jayson Tatum,
insert-selective-swatches,SS-MS,,false,,Marcus Smart,
base,255,,false,,Jayson Tatum,
insert-sensations,11,,false,,Jaylen Brown,
auto-top-shelf-signatures,TSS-PPC,,true,,Paul Pierce,
base,235,,false,,Marcus Smart,
auto-top-shelf-signatures,TSS-KVG,,true,,Kevin Garnett,
auto-top-shelf-signatures,TSS-JYT,,true,,Jayson Tatum,
base,232,,false,,Jaylen Brown,
auto-signature-selections,SS-DRW,,true,,Derrick White,
insert-thunder-lane,14,,false,,Jaylen Brown,
auto-signature-selections,SS-GRW,,true,,Grant Williams,
base,211,,false,,Malcolm Brogdon,
base,111,,false,,Malcolm Brogdon,
auto-signatures,S-DCW,,true,,Dave Cowens,
base,132,,false,,Jaylen Brown,
auto-signatures,S-JOE,,true,,Joe Harris,
insert-throwback-memorabilia,TM-DA,,false,,D'Angelo Russell,
auto-x-factor-memorabilia-signatures,XFS-SDW,,true,,Spencer Dinwiddie,
auto-rookie-signatures,RS-MKW,,true,,Mark Williams,
base,241,,false,,LaMelo Ball,
insert-rookie-revolution,25,,false,,Mark Williams,
base,141,,false,,LaMelo Ball,
base,93,,false,,Mark Williams,
insert-draft-selections-memorabilia,DSM-MW,,false,,Mark Williams,
insert-color-wheel,2,,false,,LaMelo Ball,
insert-select-numbers,7,,false,,LaMelo Ball,
auto-rookie-jersey-autographs,RJA-MWL,,true,,Mark Williams,
auto-signature-selections,SS-KOJ,,true,,Kelly Oubre Jr.,
insert-selective-swatches,SS-LM,,false,,LaMelo Ball,
auto-youth-explosion-signatures,YES-BMG,,true,,Bryce McGowens,
insert-unstoppable,15,,false,,LaMelo Ball,
insert-select-certified,13,,false,,LaMelo Ball,
auto-rookie-signatures,RS-BYM,,true,,Bryce McGowens,
auto-signature-selections,SS-MGB,,true,,Muggsy Bogues,
insert-snapshots,11,,false,,LaMelo Ball,
base,41,,false,,LaMelo Ball,
base,121,,false,,Ayo Dosunmu,
auto-youth-explosion-signatures,YES-DLT,,true,,Dalen Terry,
base,275,,false,,Dalen Terry,
auto-rookie-jersey-autographs,RJA-DTY,,true,,Dalen Terry,
auto-signatures,S-ADM,,true,,Andre Drummond,
auto-signatures,S-AYO,,true,,Ayo Dosunmu,
insert-sensations,6,,false,,DeMar DeRozan,
insert-draft-selections-memorabilia,DSM-PB,,false,,Dalen Terry,
auto-rookie-signatures,RS-DTY,,true,,Dalen Terry,
base,89,,false,,Dalen Terry,
base,234,,false,,Zach LaVine,
base,5,,false,,DeMar DeRozan,
