category,cardNumber,parallel,isAuto,printRun,player,parallelNote
insert-luck-of-the-lottery,15,,false,,Class of 2018,
auto-sensational-signatures,SS-KHR,,true,,Kevin Huerter,
auto-rookie-signatures,RS-OSP,,true,,Omari Spellman,
auto-rookie-signatures,RS-KHR,,true,,Kevin Huerter,
insert-luck-of-the-lottery,5,,false,,Trae Young,
base,88,,false,,Omari Spellman,
auto-signatures,S-DWL,,true,,Dominique Wilkins,
base,8,,false,,Jeremy Lin,
insert-sensational-swatches,97,,false,,Trae Young,
base,18,,false,,Kent Bazemore,
insert-emergent,5,,false,,Trae Young,
insert-sensational-swatches,93,,false,,Omari Spellman,
base,78,,false,,Trae Young,
insert-sensational-swatches,83,,false,,Kevin Huerter,
insert-emergent,19,,false,,Kevin Huerter,
base,28,,false,,DeAndre' Bembry,
auto-fastbreak-autographs,FB-DWK,,true,,Dominique Wilkins,
base,38,,false,,Taurean Prince,
auto-fastbreak-autographs-rookies,FR-KHR,,true,,Kevin Huerter,
auto-fastbreak-autographs-rookies,FR-OSP,,true,,Omari Spellman,
auto-sensational-signatures,SS-TYG,,true,,Trae Young,
auto-fastbreak-autographs-rookies,FR-TYG,,true,,Trae Young,
auto-sensational-signatures,SS-OSP,,true,,Omari Spellman,
base,48,,false,,John Collins,
auto-rookie-signatures,RS-TYG,,true,,Trae Young,
base,58,,false,,Dewayne Dedmon,
auto-sensational-signatures,SS-DWL,,true,,Dominique Wilkins,
auto-sensational-signatures,SS-DKM,,true,,Dikembe Mutombo,
insert-freshman-phenoms,7,,false,,Kevin Huerter,
insert-freshman-phenoms,21,,false,,Trae Young,
base,68,,false,,Kevin Huerter,
base,255,,false,,Pete Maravich,
auto-sensational-signatures,SS-JTT,,true,,Jayson Tatum,
insert-fireworks,9,,false,,Kyrie Irving,
auto-fastbreak-autographs,FB-DCW,,true,,Dave Cowens,
base,128,,false,,Al Horford,
base,158,,false,,Gordon Hayward,
auto-signatures,S-KMH,,true,,Kevin McHale,
auto-sensational-signatures,SS-DCW,,true,,Dave Cowens,
insert-sensational-swatches,53,,false,,Larry Bird,
auto-fastbreak-autographs,FB-GHW,,true,,Gordon Hayward,
auto-fastbreak-autographs,FB-KIV,,true,,Kyrie Irving,
auto-fastbreak-autographs,FB-KMH,,true,,Kevin McHale,
auto-sensational-signatures,SS-GYB,,true,,Guerschon Yabusele,
base,175,,false,,Paul Pierce,
base,118,,false,,Jayson Tatum,
auto-sensational-signatures,SS-GHW,,true,,Gordon Hayward,
base,168,,false,,Marcus Morris,
insert-fireworks,26,,false,,Jayson Tatum,
auto-signatures,S-KIV,,true,,Kyrie Irving,
insert-all-day,13,,false,,Kyrie Irving,
insert-hall-monitors,2,,false,,Larry Bird,
insert-hall-monitors,4,,false,,Bill Russell,
auto-fastbreak-autographs-rookies,FR-RWL,,true,,Robert Williams III,
