category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
insert-magnetic-field,1,,false,,Roberto Alomar,,10-card insert; 1:12 Hobby and 1:12 Retail packs
insert-magnetic-field,2,,false,,Jeff Bagwell,,10-card insert; 1:12 Hobby and 1:12 Retail packs
insert-magnetic-field,3,,false,,Barry Bonds,,10-card insert; 1:12 Hobby and 1:12 Retail packs
insert-magnetic-field,4,,false,,Ken Griffey Jr.,,10-card insert; 1:12 Hobby and 1:12 Retail packs
insert-magnetic-field,5,,false,,Derek Jeter,,10-card insert; 1:12 Hobby and 1:12 Retail packs
insert-magnetic-field,6,,false,,Kenny Lofton,,10-card insert; 1:12 Hobby and 1:12 Retail packs
insert-magnetic-field,7,,false,,Edgar Renteria,,10-card insert; 1:12 Hobby and 1:12 Retail packs
insert-magnetic-field,8,,false,,Cal Ripken Jr.,,10-card insert; 1:12 Hobby and 1:12 Retail packs
insert-magnetic-field,9,,false,,Alex Rodriguez,,10-card insert; 1:12 Hobby and 1:12 Retail packs
insert-magnetic-field,10,,false,,Matt Williams,,10-card insert; 1:12 Hobby and 1:12 Retail packs
