category,cardNumber,parallel,isAuto,printRun,player,parallelNote,rarity
insert-magnetic-field,1,Magnetic Field,false,,Roberto Alomar,,10-card insert; 1:12 Hobby and 1:12 Retail packs
insert-magnetic-field,2,Magnetic Field,false,,Jeff Bagwell,,10-card insert; 1:12 Hobby and 1:12 Retail packs
insert-magnetic-field,3,Magnetic Field,false,,Barry Bonds,,10-card insert; 1:12 Hobby and 1:12 Retail packs
insert-magnetic-field,4,Magnetic Field,false,,Ken Griffey Jr.,,10-card insert; 1:12 Hobby and 1:12 Retail packs
insert-magnetic-field,5,Magnetic Field,false,,Derek Jeter,,10-card insert; 1:12 Hobby and 1:12 Retail packs
insert-magnetic-field,6,Magnetic Field,false,,Kenny Lofton,,10-card insert; 1:12 Hobby and 1:12 Retail packs
insert-magnetic-field,7,Magnetic Field,false,,Edgar Renteria,,10-card insert; 1:12 Hobby and 1:12 Retail packs
insert-magnetic-field,8,Magnetic Field,false,,Cal Ripken Jr.,,10-card insert; 1:12 Hobby and 1:12 Retail packs
insert-magnetic-field,9,Magnetic Field,false,,Alex Rodriguez,,10-card insert; 1:12 Hobby and 1:12 Retail packs
insert-magnetic-field,10,Magnetic Field,false,,Matt Williams,,10-card insert; 1:12 Hobby and 1:12 Retail packs
